name,age,device,sentence,x_list,y_list,width,height,time
name0,24,Samsung Galaxy S9,my bare face in the wind.,"303.8504638671875,198.88394165039062,232.3325958251953,178.79464721679688,34.453125,140.82589721679688,93.31473541259766,243.0803680419922,127.76786041259766,47.611610412597656,152.8794708251953,83.37053680419922,231.6294708251953,291.796875,253.82814025878906,236.14956665039062,164.22991943359375,222.79019165039062,95.92634582519531,225.8035888671875,63.482147216796875,291.9977722167969,236.45089721679688,120.23438262939453,325.7477722167969","653.4877319335938,507.51116943359375,699.7377319335938,674.1350708007812,583.286865234375,498.0133972167969,504.4140930175781,702.8348388671875,571.724365234375,609.0960083007812,640.4799194335938,502.9687805175781,705.3125,483.7667541503906,636.3504638671875,715.2232666015625,500.4910888671875,567.388427734375,480.05023193359375,713.364990234375,465.59710693359375,463.5323791503906,647.0870971679688,555.6194458007812,640.4799194335938",407,637,5275
name0,24,Samsung Galaxy S9,nothing finer than discovering a treasure.,"277.734375,327.2544860839844,156.29464721679688,241.37277221679688,307.4665222167969,262.265625,186.6294708251953,241.37277221679688,143.33706665039062,276.2276916503906,258.54913330078125,94.31919860839844,156.89732360839844,235.94866943359375,173.77232360839844,227.9129638671875,35.15625,233.33706665039062,221.38394165039062,124.25223541259766,269.79913330078125,74.93303680419922,158.80581665039062,328.15850830078125,197.27679443359375,93.81697082519531,158.203125,274.3192138671875,264.17413330078125,212.1428680419922,229.62054443359375,34.252235412597656,230.7254638671875,169.9553680419922,139.11831665039062,42.48884201049805,37.36607360839844,92.41072082519531,233.0357208251953,143.7388458251953,103.2589340209961,319.921875","570.6920166015625,413.97882080078125,473.4430847167969,533.1138916015625,446.6015930175781,630.982177734375,559.3359375,687.5558471679688,565.943115234375,454.8605041503906,658.0301513671875,491.61273193359375,490.9933166503906,698.4989013671875,495.3292541503906,548.8057861328125,558.9229736328125,658.0301513671875,701.5960083007812,572.1373291015625,461.67413330078125,578.5379638671875,653.9006958007812,458.78350830078125,647.7064819335938,485.2120666503906,478.8114013671875,476.9531555175781,631.1886596679688,554.380615234375,702.421875,569.6596069335938,696.640625,502.14288330078125,473.4430847167969,570.4854736328125,562.0201416015625,544.6763916015625,456.0993347167969,464.9776916503906,473.0301513671875,629.536865234375",407,637,11173
name0,24,Samsung Galaxy S9,the location of the crime.,"201.69644165039062,239.26339721679688,133.69419860839844,220.98214721679688,356.88616943359375,307.265625,151.875,43.49330520629883,169.9553680419922,257.2433166503906,344.8326110839844,258.9508972167969,237.55581665039062,332.97991943359375,153.68304443359375,249.10714721679688,175.5803680419922,224.7991180419922,105.26786041259766,238.56027221679688,137.8125,119.83259582519531,284.6651916503906,294.0067138671875,102.25447082519531,336.1942138671875","452.1763610839844,574.8214111328125,455.0669860839844,697.2600708007812,552.935302734375,463.9453430175781,630.7756958007812,559.9553833007812,493.47100830078125,491.8192138671875,467.45538330078125,641.9252319335938,673.3092041015625,437.9297180175781,546.328125,669.5926513671875,480.2567138671875,542.6116333007812,459.1964416503906,674.341552734375,611.7801513671875,442.47210693359375,418.1082763671875,650.390625,457.1317138671875,634.0792846679688",407,637,8937
name0,24,Samsung Galaxy S9,bank transaction was not registered.,"190.44644165039062,33.14732360839844,252.32144165039062,308.0692138671875,233.63839721679688,175.98214721679688,112.90179443359375,31.540180206298828,246.1942138671875,74.53125,27.62276840209961,137.20982360839844,181.40626525878906,262.5669860839844,331.9754638671875,248.7053680419922,237.35491943359375,73.92857360839844,39.57589340209961,92.61161041259766,233.63839721679688,252.32144165039062,307.66741943359375,176.38394165039062,238.6607208251953,127.26563262939453,89.29688262939453,183.91741943359375,278.5379638671875,82.76786041259766,187.63394165039062,101.65178680419922,170.25669860839844,120.8370590209961,124.95536041259766,323.13616943359375","639.0346069335938,545.2957763671875,640.8928833007812,516.1830444335938,698.7053833007812,473.0301513671875,436.8973388671875,544.0569458007812,635.9375,562.0201416015625,555,616.1160888671875,482.94085693359375,455.2734680175781,447.22100830078125,630.3627319335938,692.5111694335938,461.0547180175781,556.8582763671875,555.825927734375,697.0535888671875,623.1361694335938,478.8114013671875,462.70648193359375,684.6652221679688,446.6015930175781,470.1395263671875,522.1707763671875,448.25335693359375,525.474365234375,468.0747985839844,431.7355041503906,444.7433166503906,446.3951110839844,520.9319458007812,634.0792846679688",407,637,8421
name0,24,Samsung Galaxy S9,a feeling of complete exasperation.,"28.727680206298828,218.57144165039062,170.6584930419922,101.35044860839844,357.68975830078125,347.9464416503906,299.7321472167969,252.2209930419922,191.85269165039062,244.4866180419922,324.3415222167969,143.2366180419922,248.90626525878906,141.52902221679688,326.25,287.4776916503906,363.5156555175781,343.62725830078125,94.52009582519531,175.5803680419922,98.83928680419922,249.30804443359375,84.375,106.17188262939453,37.265625,87.48884582519531,368.7388610839844,100.74777221679688,162.2209930419922,45.90401840209961,161.5178680419922,280.94866943359375,354.77679443359375,251.91964721679688,326.5513610839844","593.8170166015625,713.984375,567.5948486328125,507.7176513671875,577.505615234375,577.2991333007812,496.9810485839844,672.4832763671875,560.161865234375,718.1138916015625,488.3091735839844,567.388427734375,698.2924194335938,657.8236694335938,474.26898193359375,661.7467041015625,467.45538330078125,555.2064819335938,489.3415222167969,485.2120666503906,493.47100830078125,696.2277221679688,477.9855041503906,640.4799194335938,570.8984375,559.1295166015625,458.1640930175781,475.0948791503906,466.6294860839844,545.0892944335938,461.8805847167969,475.0948791503906,462.0870666503906,666.9085083007812,657.8236694335938",407,637,7566
name0,24,Samsung Galaxy S9,life is but a dream.,"343.1250305175781,269.296875,165.7366180419922,108.98438262939453,238.56027221679688,298.52679443359375,93.01339721679688,230.2232208251953,214.65402221679688,246.49554443359375,182.00894165039062,231.52902221679688,27.924108505249023,229.41964721679688,124.25223541259766,129.07366943359375,118.92857360839844,26.517858505249023,300.3348388671875,329.2633972167969","592.9910888671875,501.72991943359375,600.630615234375,513.2924194335938,732.5670166015625,485.83148193359375,584.5256958007812,715.2232666015625,655.1395263671875,496.36163330078125,499.8716735839844,732.9799194335938,585.5580444335938,721.0045166015625,564.0848388671875,487.27679443359375,476.12725830078125,578.7444458007812,653.0748291015625,684.0457763671875",407,637,4694
name0,24,Samsung Galaxy S9,longer than a football field.,"349.85491943359375,303.8504638671875,272.7120666503906,204.70982360839844,105.87053680419922,165.33482360839844,234.54241943359375,162.0200958251953,227.31027221679688,37.56696701049805,240.2678680419922,239.1629638671875,38.06919860839844,236.95314025878906,234.2410888671875,148.1584930419922,311.28350830078125,316.20538330078125,172.5669708251953,224.69866943359375,37.56696701049805,348.2477722167969,349.3526916503906,227.71206665039062,158.10269165039062,277.1317138671875,113.50447082519531,339.609375,125.65848541259766","555.825927734375,488.5156555175781,675.3739013671875,570.0725708007812,498.0133972167969,492.6451110839844,719.146240234375,503.3817138671875,588.4486694335938,571.724365234375,685.904052734375,733.599365234375,588.0357666015625,733.1864013671875,737.109375,551.2835083007812,499.0457763671875,491.8192138671875,509.9888610839844,663.3984375,597.3270263671875,556.6517944335938,564.9107666015625,696.4342041015625,572.34375,475.5078430175781,505.4464416503906,570.0725708007812,591.7522583007812",407,637,5907
name0,24,Samsung Galaxy S9,you want to eat your cake.,"208.72769165039062,335.89288330078125,226.7075958251953,220.27902221679688,73.52678680419922,44.89955520629883,250.71429443359375,173.67189025878906,244.4866180419922,164.93304443359375,340.2120666503906,228.1138458251953,97.83482360839844,57.154022216796875,168.24777221679688,244.7879638671875,189.04019165039062,333.28125,226.80804443359375,130.88169860839844,231.22769165039062,151.27232360839844,42.48884201049805,309.5758972167969,118.32589721679688,323.93975830078125","499.6651916503906,455.6864013671875,465.1841735839844,711.09375,512.0535888671875,582.4609375,658.2366333007812,525.2678833007812,707.583740234375,515.5635986328125,480.2567138671875,700.9765625,494.2969055175781,564.9107666015625,506.2723388671875,681.568115234375,503.3817138671875,468.0747985839844,493.2645263671875,476.5401916503906,725.3404541015625,650.1842041015625,594.849365234375,547.154052734375,503.17523193359375,663.1920166015625",407,637,5225
name0,24,Samsung Galaxy S9,taking the train is usually faster.,"184.11831665039062,37.36607360839844,291.3951110839844,268.4933166503906,272.7120666503906,205.31251525878906,238.4598388671875,188.43751525878906,235.94866943359375,112.19866943359375,225.20089721679688,183.91741943359375,140.9263458251953,48.71651840209961,288.3817138671875,249.10714721679688,230.32366943359375,267.3883972167969,96.52902221679688,220.78126525878906,237.15402221679688,98.43750762939453,234.2410888671875,41.78571701049805,340.01116943359375,343.8281555175781,232.63394165039062,237.0535888671875,152.1763458251953,42.58928680419922,132.58929443359375,211.33929443359375,115.01116943359375,159.609375,324.4419860839844","493.47100830078125,590.513427734375,560.3682861328125,482.1149597167969,678.2645263671875,563.671875,715.6361694335938,494.50335693359375,547.7734375,473.6495666503906,698.4989013671875,499.25225830078125,468.90069580078125,577.9185791015625,458.5770263671875,664.6373291015625,703.4542846679688,479.2243347167969,585.9710083007812,684.0457763671875,463.7388610839844,571.724365234375,473.6495666503906,565.3236694335938,555,547.5670166015625,496.36163330078125,683.6328125,549.4252319335938,566.7689819335938,532.0814819335938,467.45538330078125,465.3906555175781,463.3258972167969,653.4877319335938",407,637,7492
